Matchday,Home,Away,Google_Home,Google_Draw,Google_Away,OneFootball_Home,OneFootball_Draw,OneFootball_Away,Google_URL,OneFootball_URL
6,Brentford,Manchester United,,,,17.0,4.0,79.0,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3DBrentford%2Bvs%2BManchester%2BUnited%26hl%3Den%26gl%3Dus%26pws%3D0%26nfpr%3D1%26sei%3D5GbPaKzxJM6ZwbkPs4mC4AY&hl=en&q=EgRJnIXoGOTNvcYGIjDftIODU7GpGK6RLvClBQaP3Rcc2VufVwlYF2vADHqGqWhihjE1x58zUsjd_sS8mOgyAVJaAUM,https://onefootball.com/en/match/2595612
6,Chelsea,Brighton and Hove Albion,,,,82.0,6.0,12.0,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3DChelsea%2Bvs%2BBrighton%2Band%2BHove%2BAlbion%26hl%3Den%26gl%3Dus%26pws%3D0%26nfpr%3D1%26sei%3D8WbPaLafA5iLwbkPmt3x6Qk&hl=en&q=EgRJnIXoGPHNvcYGIjCpQa39RzOL5Eg0H8ybBVC61MWX7ABJMhLvXA7o0FMu31DKmWcXJSAEEBAcIl4raeAyAVJaAUM,https://onefootball.com/en/match/2595613
6,Crystal Palace,Liverpool,,,,,,,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3DCrystal%2BPalace%2Bvs%2BLiverpool%26hl%3Den%26gl%3Dus%26pws%3D0%26nfpr%3D1%26sei%3D_WbPaKDDC5qLwbkPhcLBuAs&hl=en&q=EgRJnIXoGP3NvcYGIjC--_QPY4i-Z0VuPzDCng3E_PWbvn-zPlaDJpXZ70RvlUFw_SAp92wQAFMVQIqycasyAVJaAUM,
6,Leeds United,AFC Bournemouth,,,,44.0,13.0,43.0,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3DLeeds%2BUnited%2Bvs%2BAFC%2BBournemouth%26hl%3Den%26gl%3Dus%26pws%3D0%26nfpr%3D1%26sei%3DCGfPaPLnPOuDwbkP9Mi_cQ&hl=en&q=EgRJnIXoGInOvcYGIjCVmm1n0y87zkgOWNxVeVj6EezctjROAmeVt7n3Z6SOKiDNW3BQfNsq3WzBkBWhDAEyAVJaAUM,https://onefootball.com/en/match/2595616
6,Manchester City,Burnley,,,,83.0,4.0,13.0,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3DManchester%2BCity%2Bvs%2BBurnley%26hl%3Den%26gl%3Dus%26pws%3D0%26nfpr%3D1%26sei%3DFGfPaManMMuMwbkPr7iK6Ao&hl=en&q=EgRJnIXoGJXOvcYGIjA15Ro7iHcqny6jqUC7rqqZtrXkFNunRjReAH7iMgQ1V012Ud-z9s_0hp29nFY2bNIyAVJaAUM,https://onefootball.com/en/match/2595617
6,Nottingham Forest,Sunderland,,,,61.0,8.0,31.0,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3DNottingham%2BForest%2Bvs%2BSunderland%26hl%3Den%26gl%3Dus%26pws%3D0%26nfpr%3D1%26sei%3DIGfPaKHAIrzRwbkP-6CD2Ao&hl=en&q=EgRJnIXoGKDOvcYGIjDPtXEAm1PMF_6uAzog03n4O51aGuUGGbi5STjQHNxSp6DtNVQiCAA_DNlLJXSjAnYyAVJaAUM,https://onefootball.com/en/match/2595619
6,Tottenham Hotspur,Wolverhampton Wanderers,,,,80.0,4.0,16.0,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3DTottenham%2BHotspur%2Bvs%2BWolverhampton%2BWanderers%26hl%3Den%26gl%3Dus%26pws%3D0%26nfpr%3D1%26sei%3DLGfPaPTxFMiawbkPuvPEMA&hl=en&q=EgRJnIXoGKzOvcYGIjCdWnX8VqX-3m2aLGr5V3OnWCUwfNe9Ig7PRZFsFUyOtU11AxY_YmHheSKA43KlNQwyAVJaAUM,https://onefootball.com/en/match/2595620
6,Aston Villa,Fulham,,,,56.0,14.0,30.0,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3DAston%2BVilla%2Bvs%2BFulham%26hl%3Den%26gl%3Dus%26pws%3D0%26nfpr%3D1%26sei%3DN2fPaLmhM9ScwbkPqoeJiAI&hl=en&q=EgRJnIXoGLjOvcYGIjAAvIUYYAZEV-BiUByTQgFeRJNJZpj4ikUFjdZvQWKyEUIHOyOZiP-Mm8lgmiFPwLUyAVJaAUM,https://onefootball.com/en/match/2595611
6,Newcastle United,Arsenal,,,,24.0,9.0,67.0,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3DNewcastle%2BUnited%2Bvs%2BArsenal%26hl%3Den%26gl%3Dus%26pws%3D0%26nfpr%3D1%26sei%3DQ2fPaMH5JKaJwbkPz4KBkAU&hl=en&q=EgRJnIXoGMPOvcYGIjBkXemPJdUqQxvePeXaOm4ofW5QjWnUpkEEHECQQ0JyQma0RxA7BUv-NchvHEXQUKsyAVJaAUM,https://onefootball.com/en/match/2595618
6,Everton,West Ham United,,,,69.0,4.0,27.0,https://www.google.com/sorry/index?continue=https://www.google.com/search%3Fq%3DEverton%2Bvs%2BWest%2BHam%2BUnited%26hl%3Den%26gl%3Dus%26pws%3D0%26nfpr%3D1%26sei%3DT2fPaI3sEqWvwbkPj5-OiAY&hl=en&q=EgRJnIXoGM_OvcYGIjDhhQn54cuXhXcRIJi7WO1YDpZPN9uXcJ6QfkQ2UcarDXrJEU6f9wmsy3GtIg-VUZ8yAVJaAUM,https://onefootball.com/en/match/2595615
